course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Fireweed Meadows Golf Course,Anchor Point,AK,Mylofritz Ave,99556,9,Public,,No Match Found,-151.820102,59.773222
Anchorage Golf Course,Anchorage,AK,3651 Omalley Rd,99507-4266,18,Public,199.11717757727197,OSM (Medium Reliability),-149.814495,61.127089
Russian Jack Springs Golf Course,Anchorage,AK,1600 Lidia Selkregg Ln,99508-3131,9,Municipal,27.755584763805725,OSM (Medium Reliability),-149.788303,61.206435
Tanglewood Lakes Golf Club,Anchorage,AK,11801 Brayton Dr,11801,9,Public,30.239847112749334,OSM (Medium Reliability),-149.853757,61.113415
Eagleglen Golf Course,Elmendorf Afb,AK,4414 1st St,99506,18,Public,233.77874854838385,OSM (Medium Reliability),-149.824373,61.233041
Fairbanks Golf and Country Club,Fairbanks,AK,1735 Farmers Loop Rd,99709-6712,9,Public,75.22615325956032,OSM (Medium Reliability),-147.816536,64.877632
North Star Golf Course,Fairbanks,AK,330 Golf Club Dr,99712-2214,18,Public,152.75601838007665,OSM (Medium Reliability),-147.613637,64.89708
Moose Run Golf Course,Fort Richardson,AK,27000 Artic Valley Road,27000,36,Public,,No Match Found,-149.542309,61.24357
Chena Bend Golf Course,Fort Wainwright,AK,2092 Building Gafeney,99703,18,Public,,No Match Found,-147.626814,64.814935
Mount Fairweather Golf Course,Gustavus,AK,1 Mile Dock Road,99826,9,Public,,No Match Found,-135.742963,58.420408
Valley of the Eagles Golf Links,Haines,AK,1 1/2 Mile Haines Hwy,99827,9,Public,68.54535514051037,OSM (Medium Reliability),-135.481298,59.239917
Black Diamond Golf Course,Healy,AK,Mile 247 George Park Hwy Otto Lake Rd,99743,9,Public,,No Match Found,-149.039817,63.848484
Kachemak Bay Links Par 3 Golf,Homer,AK,56910 East Rd,56910,9,Public,10.113604338187452,OSM (Medium Reliability),-151.370752,59.692919
Mendenhall Golf Course,Juneau,AK,The End of Industrial Blvd,99801,9,Public,52.34772448298379,OSM (Medium Reliability),-134.610092,58.361763
Kenai Golf Course,Kenai,AK,1420 Lawton Dr,99611-8232,18,Public,1.125220804761555,OSM (Medium Reliability),-151.183901,60.559592
Bear Valley Golf Course,Kodiak,AK,2 8 Mile Anton Larsen Bay Rd,99615,9,Public,,No Match Found,-152.527572,57.772932
Cottonwood Country Club,Nikiski,AK,Mile Post 32,99635,9,Public,,No Match Found,-151.291629,60.690101
Palmer Golf Course,Palmer,AK,1000 Lepak Avenue,99645,18,Municipal,,No Match Found,-149.087712,61.584757
Sea Mountain Golf Course,Sitka,AK,301 Granite Creek Rd,99835,9,Public,46.12495561529603,OSM (Medium Reliability),-135.395965,57.101605
Birch Ridge Golf Course Inc,Soldotna,AK,42223 Sterling Hwy,42223,9,Public,67.70951151223434,OSM (Medium Reliability),-151.007643,60.499382
Bird Homestead Golf Course,Soldotna,AK,37109 Funny River Rd,37109,9,Public,,No Match Found,-150.856551,60.498969
Settlers Bay Golf Course,Wasilla,AK,Mile 8 Knik Goose Bay Road,99687,18,Public,350.6706323673276,OSM (Medium Reliability),-149.613961,61.504628
Sleepy Hollow Golf Course,Wasilla,AK,2721 E Sleepy Hollow Cir,99654,9,Public,22.812782092013435,OSM (Medium Reliability),-149.382193,61.655225
Muskeg Meadows Golf Course,Wrangell,AK,Ishiyama Dr,99929,9,Public,27.75943775016872,OSM (Medium Reliability),-132.356586,56.473241
Albertville Golf & Country Club,Albertville,AL,860 Country Club Rd,35951-3966,18,Private,103.67219765640826,Tigris (High Reliability),-86.198381,34.296785
Willow Brook Golf Corp,Albertville,AL,134 Par Dr,35951-6165,18,Public,232.8401608593648,OSM (Medium Reliability),-86.11883,34.3553
Willow Point Golf & Country Club,Alexander City,AL,3054 Willow Point Rd,35010-6264,18,Semi Private,206.26418555162584,OSM (Medium Reliability),-85.976846,32.788959
Aliceville Country Club,Aliceville,AL,Highway 14 North,35442,18,Private,,No Match Found,-88.141013,33.102758
Alpine Bay Resort,Alpine,AL,9855 Renfroe Rd,35014-6711,18,Public,,No Match Found,-86.300495,33.434675
Whippoorwill Golf Club,Altoona,AL,2920 County Highway 14,35952-6306,18,Public,,No Match Found,-86.435707,34.113605
Evans Barnes Golf Course,Andalusia,AL,Lurleen B Wallace Jr College,36420,18,Municipal,,No Match Found,-86.451201,31.321218
Andalusia Country Club,Andalusia,AL,210 Country Club Dr,36421-4204,18,Private,,No Match Found,-86.511445,31.315197
Old Pine Golf Course,Andalusia,AL,24908 Harmony Church Rd,24908,9,Public,,No Match Found,-86.377095,31.344885
Anniston Municipal Golf Course,Anniston,AL,1341 Johnston Dr,36207-4090,9,Municipal,,No Match Found,-85.810966,33.665031
Cane Creek Golf Course,Anniston,AL,2247 Baltzell Gate Road,36205,18,Municipal,,No Match Found,-85.792399,33.71603
Anniston Country Club,Anniston,AL,601 Highland Ave,36207-5856,18,Semi Private,90.1669662217706,OSM (Medium Reliability),-85.818524,33.651845
Indian Oaks Golf Club,Anniston,AL,201 Cherokee Trl,36206-1015,18,Public,221.39504798167596,OSM (Medium Reliability),-85.87225,33.730704
Pine Hill Country Club,Anniston,AL,175 Pine Hill Dr,36207-8047,18,Public,130.59780430652955,OSM (Medium Reliability),-85.703307,33.671577
Brookside Golf Course,Arab,AL,Sundown Drive,35016,18,Public,,No Match Found,-86.511111,34.326222
Twin Lakes Golf Course,Arab,AL,211 Golfview Dr NE,35016-5412,18,Public,,No Match Found,-86.498066,34.343263
Clay County Golf Course,Ashland,AL,158 Country Club Rd,36251-7852,9,Public,74.866125125537,OSM (Medium Reliability),-85.798765,33.280444
Athens Golf & Country Club,Athens,AL,518 Hatfield Lake Rd,35611-8412,9,Public,134.73332339174803,Tigris (High Reliability),-86.954304,34.759613
Canebrake Golf Club,Athens,AL,23015 Founders Cir,23015,19,Public,502.8227862390522,OSM (Medium Reliability),-86.91543,34.763744
Chriswood Golf Course,Athens,AL,26181 Nick Davis Road,26181,18,Public,,No Match Found,-86.857802,34.802979
Southern Gayles Golf Community,Athens,AL,22230 Mooresville Rd,22230,18,Public,337.4384830382595,OSM (Medium Reliability),-86.875101,34.879828
Atmore Country Club,Atmore,AL,4474 Highway 31 South,36504,9,Private,,No Match Found,-87.492589,31.02483
Wills Creek Country Club,Attalla,AL,216 Country Club Rd,35954-2603,18,Public,123.4978761750408,OSM (Medium Reliability),-86.096727,34.009726
Indian Pines Golf Course,Auburn,AL,900 Country Club Dr,36830-5208,18,Municipal,152.79803201847943,OSM (Medium Reliability),-85.441306,32.62367
The Auburn University Club,Auburn,AL,1650 Yarbrough Farms Blvd,36830-2679,18,Semi Private,272.7343752555438,OSM (Medium Reliability),-85.505203,32.632656
Auburn Links At Mill Creek,Auburn,AL,826 Shell Toomer Pkwy,36830-6958,18,Public,184.446309564844,OSM (Medium Reliability),-85.507329,32.554634
Moore's Mill Golf Club,Auburn,AL,1957 Fairway Dr,36830-7627,18,Public,168.35696467465667,OSM (Medium Reliability),-85.445537,32.580497
Holly Hills Country Club,Bay Minette,AL,Highway 59 South,36507,9,Private,65.8806627195757,OSM (Medium Reliability),-87.773055,30.787791
Frank House Municipal Golf Course,Bessemer,AL,801 Golf Course Rd,35022-6001,18,Municipal,127.14634722717776,OSM (Medium Reliability),-86.991577,33.367315
Woodward Golf & Country Club,Bessemer,AL,2141 Wheel Dr,35020-2611,18,Private,128.86554008924048,Tigris (High Reliability),-86.957834,33.428521
Bent Brook Golf Course,Bessemer,AL,7900 Dickey Springs Rd,35022-6378,54,Public,258.6634099761393,OSM (Medium Reliability),-86.973348,33.33316
Roebuck Municipal Golf Course,Birmingham,AL,8920 Roebuck Blvd,35206-1524,18,Municipal,111.53722638101956,OSM (Medium Reliability),-86.711209,33.582031
Grayson Valley Country Club,Birmingham,AL,2201 Grayson Valley Dr,35235-2027,18,Private,139.62374663860078,OSM (Medium Reliability),-86.642887,33.645754
Greystone Golf & Country Club,Birmingham,AL,4100 Greystone Dr,35242-6409,18,Private,408.26923779332,OSM (Medium Reliability),-86.651369,33.429533
Greystone Golf & Country Club,Birmingham,AL,330 Legacy Way,35242-6042,18,Private,164.9706278983386,OSM (Medium Reliability),-86.622465,33.454637
Hoover Country Club,Birmingham,AL,3140 Club Dr,35226-2704,18,Private,120.03400417160964,OSM (Medium Reliability),-86.81748,33.399573
Pine Tree Country Club,Birmingham,AL,5100 Pine Whispers Dr,35210-3429,18,Private,170.61078306229743,OSM (Medium Reliability),-86.653914,33.527852
Vestavia Country Club,Birmingham,AL,400 Beaumont Dr,35216-1307,27,Private,194.0405977417128,Tigris (High Reliability),-86.772297,33.454757
Mountain Brook Club,Birmingham,AL,19 Beechwood Rd,35213-3955,18,Private,186.1114670820888,Tigris (High Reliability),-86.744309,33.495525
Altadena Valley Golf & Country Club,Birmingham,AL,2651 Alta Vista Dr,35243,18,Semi Private,,No Match Found,-86.748825,33.417863
Heatherwood Country Club,Birmingham,AL,400 Saint Annes Dr,35244-3621,18,Semi Private,,No Match Found,-86.749207,33.397505
Inverness Country Club,Birmingham,AL,1 Country Club Drive,35242-4031,18,Semi Private,259.5697291314572,Tigris (High Reliability),-86.766597,33.496983
Riverchase Country Club,Birmingham,AL,2000 Club Rd,35244-1412,18,Semi Private,4.23193301214712,OSM (Medium Reliability),-86.826049,33.338098
Country Club of Birmingham,Birmingham,AL,3325 Country Club Rd,35213-3636,36,Semi Private,259.5697291314572,Tigris (High Reliability),-86.765447,33.49841
Eagle Point Golf Club,Birmingham,AL,4500 Eagle Point Dr,35242-6906,18,Public,,No Match Found,-86.669263,33.399671
Robert Trent Jones Golf Trail At Oxmoor Valley,Birmingham,AL,100 Sunbelt Pkwy,35211-5958,54,Public,876.4308051509028,OSM (Medium Reliability),-86.877968,33.419409
Ross Bridge Golf Resort,Birmingham,AL,167 Sunbelt Pkwy,35211-5959,18,Public,302.0258801622976,OSM (Medium Reliability),-86.879498,33.392116
West Side Golf Center,Birmingham,AL,3501 Cleburn Ave SW,35221-1031,9,Public,,No Match Found,-86.89096,33.468352
Boaz Golf Club,Boaz,AL,1715 Al Highway 205,35956-5901,18,Public,127.37946683202544,OSM (Medium Reliability),-86.153561,34.173445
Dogwood Hills Golf Course,Brewton,AL,2385 Douglas Ave,36426-3555,9,Municipal,77.9575031620052,OSM (Medium Reliability),-87.068132,31.144816
Country Club of Brewton,Brewton,AL,700 Clubhouse Rd,36426-3376,18,Public,,No Match Found,-87.059413,31.209551
Capstone Golf Club,Brookwood,AL,16000 Capstone Blvd,16000,18,Public,,No Match Found,-87.33057,33.237681
Brundidge Country Club,Brundidge,AL,Spring Hill Road,36010,9,Private,,No Match Found,-85.816771,31.7202
Hidden Valley Golf Course,Bryant,AL,607 County Road 393,35958-7031,18,Public,,No Match Found,-85.661585,34.974544
Choctaw Country Club,Butler,AL,Country Club Drive,36904,9,Private,86.70424943712923,OSM (Medium Reliability),-88.188385,32.090062
Timberline Golf Club,Calera,AL,300 Timberline Trl,35040-4679,18,Public,,No Match Found,-86.734914,33.102898
Roland Cooper State Park Golf Course,Camden,AL,285 Deer Run Dr,36726-3825,9,Municipal,,No Match Found,-87.245535,32.055353
Cherokee Country Club,Centre,AL,Off Highway 9,35960,18,Public,,No Match Found,-85.647439,34.112623
Cahaba Falls Country Club,Centreville,AL,530 2nd Street North,35042,18,Public,120.17167063488924,OSM (Medium Reliability),-87.137499,32.968185
Deerfield Country Club,Chatom,AL,16461 Saint Stephens Ave,16461,18,Public,,No Match Found,-88.205439,31.454237
Deer Valley Links,Chelsea,AL,246 Cain Rd,35043-9020,18,Public,,No Match Found,-86.71452,33.322705
Coosa Pines Golf Course,Childersburg,AL,16615 Plant Rd,16615,18,Public,141.4705653997255,OSM (Medium Reliability),-86.358914,33.334061
Mill Creek,Citronelle,AL,18350 Lakeview Dr,18350,18,Municipal,91.85027853833016,OSM (Medium Reliability),-88.310005,31.073651
Clanton Country Club,Clanton,AL,1 Country Club Drive,35045,9,Public,63.17245619855453,OSM (Medium Reliability),-86.609619,32.81974
Magnolia Meadows Golf Course,Columbiana,AL,315 Highway 47 S,35051-9345,18,Public,60.13742766778697,OSM (Medium Reliability),-86.605427,33.169582
Riverbend Golf Course,Cordova,AL,1612 Mountain View Rd,35550-4028,18,Public,,No Match Found,-87.134163,33.791068
Valley Landing Golf Course,Courtland,AL,985 County Road 595,35618-3460,18,Municipal,,No Match Found,-87.351811,34.670338
Roundabout Plantation,Cowarts,AL,321 Roundabout Dr,36321-5506,18,Public,292.98784597245503,OSM (Medium Reliability),-85.306541,31.226876
Terri Pines Country Club,Cullman,AL,700 Pine Hill Dr,35057-6961,18,Semi Private,123.56912393993834,OSM (Medium Reliability),-86.889256,34.224233
Chesley Oaks Golf Course,Cullman,AL,1035 County Road 1583,35058-1400,18,Public,,No Match Found,-86.670194,34.249113
StillWaters Golf and Country Club,Dadeville,AL,797 Moonbrook Dr,36853-5645,18,Public,,No Match Found,-85.805971,32.745816
Lake Forest Yacht & Country Club,Daphne,AL,1 Golf Ter,36526-7657,27,Semi Private,260.55580667342576,OSM (Medium Reliability),-87.895203,30.649638
Isle Dauphine Club Golf Course,Dauphin Island,AL,100 Orleans Dr,36528-4314,18,Public,,No Match Found,-88.11597,30.247426
Point Mallard Golf Club,Decatur,AL,2600A Point Mallard Pkwy SE,35603-5604,18,Municipal,,No Match Found,-86.930105,34.545337
Decatur Country Club,Decatur,AL,2401 Country Club Rd SE,35601-6544,18,Private,92.2607019192433,OSM (Medium Reliability),-86.96625,34.567514
Burningtree Country Club,Decatur,AL,2521 Burningtree Dr SE,35603-5138,18,Semi Private,78.12939947909791,OSM (Medium Reliability),-86.933742,34.518897
Cedar Ridge Golf Course,Decatur,AL,3030 Modaus Rd SW,35603-4254,18,Public,,No Match Found,-87.049833,34.561342
Indian Hills Golf Course,Decatur,AL,127 Par Dr,35603,18,Public,103.71179389943842,OSM (Medium Reliability),-86.931083,34.494825
The Ravine Golf Course,Demopolis,AL,748 Sportsplex Road,36732,18,Municipal,,No Match Found,-87.791047,32.486124
Demopolis Country Club,Demopolis,AL,1620 Country Club Dr,36732-3440,18,Private,129.5710026435772,OSM (Medium Reliability),-87.859405,32.499999
Horse Creek Golf Club,Dora,AL,1745 Highway 78,35062-2322,18,Municipal,211.92787342835427,Tigris (High Reliability),-87.058918,33.750913
Dothan Country Club,Dothan,AL,200 S Cherokee Ave,36301-1282,18,Private,119.4479964749702,OSM (Medium Reliability),-85.417632,31.22387
Dothan National Golf Club & Hotel,Dothan,AL,7410 S U S 231,36301-7822,18,Public,174.2777578205971,OSM (Medium Reliability),-85.404517,31.120801
Green Hill Golf Course,Dothan,AL,2600 Campbellton Hwy,36301-7636,18,Public,,No Match Found,-85.421542,31.15937
Highland Oaks Golf Course,Dothan,AL,904 Royal Pkwy,36305-6922,36,Public,,No Match Found,-85.49638,31.226907
Highland Oaks Par 3 Golf Course,Dothan,AL,904 Royal Pkwy,36305-6922,9,Public,,No Match Found,-85.49638,31.226907
High Pointe Golf Club,Eight Mile,AL,4603 Golfway Dr,36613-3733,9,Municipal,,No Match Found,-88.168015,30.756027
Elba Country Club,Elba,AL,1477 Country Club Way,36323,9,Private,,No Match Found,-86.097119,31.437234
Soldiers Creek Golf Club At Woerner Preserve,Elberta,AL,12096 County Road 95,12096,18,Public,,No Match Found,-87.547564,30.403182
Marcum Golf Course,Empire,AL,9621 Bagley Rd,35063-5119,18,Public,,No Match Found,-86.956142,33.792773
Enterprise Country Club,Enterprise,AL,3000 Ozark Hwy,36330-8246,18,Private,157.3978558789958,OSM (Medium Reliability),-85.831816,31.360296
Tartan Pines Golf Club,Enterprise,AL,423 Tartan Way,36330-2315,18,Public,243.69699687728516,OSM (Medium Reliability),-85.879854,31.312646
Lake Point Resort State Park Golf Course,Eufaula,AL,104 Lakepoint Dr,36027-4612,18,Municipal,210.22304746410063,OSM (Medium Reliability),-85.114176,31.98767
Eufaula Country Club,Eufaula,AL,2650 Country Club Rd,36027-5907,18,Private,125.02825225062922,OSM (Medium Reliability),-85.172012,31.88752
Red Eagle Golf Course,Eufaula,AL,101 Merion Dr,36027-3631,18,Public,,No Match Found,-85.157631,31.821922
Greene County Golf Course,Eutaw,AL,Lower Gainesville Road,35462,9,Municipal,51.64428640063163,OSM (Medium Reliability),-87.938072,32.852601
Evergreen Golf Course,Evergreen,AL,Highway 31 North,36401,9,Public,78.84464709312951,OSM (Medium Reliability),-86.887753,31.43712
Quail Creek Golf Course,Fairhope,AL,19841 Quail Creek Dr,19841,18,Municipal,47.47313169866401,OSM (Medium Reliability),-87.844066,30.513396
Rock Creek Golf Club,Fairhope,AL,140 Clubhouse Dr,36532-3372,18,Public,,No Match Found,-87.88837,30.573041
Fayette Country Club,Fayette,AL,303 County Road 16,35555,9,Private,,No Match Found,-87.872075,33.685932
Dogwood Hills Golf Club,Flat Rock,AL,26460 Al Highway 71,26460,18,Public,169.58031083748403,OSM (Medium Reliability),-85.658124,34.824072
Blackberry Trail Golf Course,Florence,AL,112 Clubhouse Dr,35630-8922,18,Municipal,154.98915304891233,OSM (Medium Reliability),-87.630083,34.861748
Florence Golf & Country Club,Florence,AL,450 Country Club Dr,35630-0734,18,Private,96.31083735373733,Tigris (High Reliability),-87.714906,34.810585
Glenlakes Golf Club,Foley,AL,9530 Clubhouse Dr,36535-9326,27,Public,422.2163902875069,OSM (Medium Reliability),-87.637127,30.364024
Gulf Links Executive Golf Course,Foley,AL,3901 S McKenzie St,36535-3719,18,Public,73.83775200254671,OSM (Medium Reliability),-87.682934,30.357377
Magnolia Springs Golf,Foley,AL,10831 Magnolia Springs Hwy,10831,9,Public,,No Match Found,-87.768043,30.381983
De Soto Country Club,Fort Payne,AL,502 Crystal Lake Dr NE,35967-4204,9,Private,61.2174826420509,OSM (Medium Reliability),-85.694491,34.462253
Terrapin Hills Country Club,Fort Payne,AL,5501 Club Dr NW,35967-8241,18,Private,168.99240434664472,OSM (Medium Reliability),-85.687898,34.509586
Silver Wings Golf Course,Fort Rucker,AL,Combat Road Bldg 20067,20067,54,Public,224.56731091568065,OSM (Medium Reliability),-85.692736,31.352046
Twin Bridges Golf Course,Gadsden,AL,901 Riverbend Dr,35901-2569,18,Municipal,,No Match Found,-85.985059,34.025973
Gadsden Country Club,Gadsden,AL,1884 Rainbow Dr,35901-5504,18,Private,127.3907528793897,OSM (Medium Reliability),-86.012825,33.975807
River Trace Golf Club,Gadsden,AL,464 Nowlin St,35903-1055,18,Public,,No Match Found,-85.986479,34.01053
Castle Pines Country Club,Gardendale,AL,1600 Quail Ridge Dr,35071-2873,18,Public,165.18255636926185,OSM (Medium Reliability),-86.781718,33.660967
River Oaks Golf Course,Geneva,AL,203 River Oaks Rd,36340,9,Public,,No Match Found,-85.862528,31.028007
Briarmeade Golf Course,Glencoe,AL,505 Ralph Ave,35905-1014,18,Private,96.81828627131765,OSM (Medium Reliability),-85.946376,33.96101
The Robert Trent Jones Golf Trail At Silver Lake,Glencoe,AL,1 Sunbelt Pkwy,35905-8840,54,Public,481.40923375896745,OSM (Medium Reliability),-85.927814,33.884072
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,Glencoe,AL,1 Sunbelt Pkwy,35905-8840,9,Public,481.40923375896745,OSM (Medium Reliability),-85.927814,33.884072
Hatchett Creek Golf Course,Goodwater,AL,Mount Olive Road,35072,9,Public,,No Match Found,-86.099665,33.056103
Mountain View Golf Course,Graysville,AL,3200 Mountain View Dr,35073-9691,45,Public,,No Match Found,-86.940498,33.633344
Lakeview Country Club,Greensboro,AL,Millwood Road,36744,9,Public,118.4221349094336,OSM (Medium Reliability),-87.634199,32.693137
Greenville Country Club,Greenville,AL,902 Fort Dale Rd,36037-3611,9,Private,64.65768601428799,OSM (Medium Reliability),-86.639508,31.846232
The Robert Trent Jones Golf Trail At Cambrian Ridg,Greenville,AL,101 Sunbelt Pkwy,36037-7935,63,Public,369.7762414640867,OSM (Medium Reliability),-86.686282,31.896111
Pikeville Country Club,Guin,AL,1310 Country Club Rd,35563-3114,18,Private,,No Match Found,-87.905842,33.971968
Gulf State Park Golf Course,Gulf Shores,AL,20115 State Highway 135,20115,18,Municipal,,No Match Found,-87.678015,30.265806
Craft Farms Golf Resort,Gulf Shores,AL,3840 Cotton Creek Blvd,36542-2729,36,Public,16.746251008063847,OSM (Medium Reliability),-87.669298,30.304795
Kiva Dunes,Gulf Shores,AL,815 Plantation Rd,36542-8286,18,Public,,No Match Found,-87.888474,30.235553
Peninsula Golf & Racquet Club,Gulf Shores,AL,20 Peninsula Blvd,36542-8280,54,Public,39.48133805714425,OSM (Medium Reliability),-87.773899,30.251587
The Golf Club of the Wharf,Gulf Shores,AL,520 Clubhouse Dr,36542-3490,18,Public,167.4198614604167,OSM (Medium Reliability),-87.701114,30.270101
Lake Guntersville State Park Golf Course,Guntersville,AL,7966 Al Highway 227,35976-8280,18,Municipal,,No Match Found,-86.217249,34.369603
Gunter's Landing,Guntersville,AL,1000 Gunters Landing Rd,35976-8627,18,Public,,No Match Found,-86.255397,34.394562
Stoney Mountain Golf Course,Guntersville,AL,5200 Georgia Mountain Rd,35976-7229,18,Public,,No Match Found,-86.388367,34.374594
Haleyville Country Club,Haleyville,AL,1331 Airport Road,35565,18,Private,100.33024015223032,OSM (Medium Reliability),-87.604364,34.277349
Cullman Municipal Golf Club,Hanceville,AL,2321 County Road 490,35077-8125,18,Municipal,124.14113291321895,OSM (Medium Reliability),-86.831362,34.110408
Quail Creek Golf Course & Conference Center,Hartselle,AL,233 Quail Creek Dr,35640-6952,18,Public,,No Match Found,-86.863833,34.390421
Harvest Hills,Harvest,AL,791 Harvest Rd,35749-8625,18,Public,,No Match Found,-86.740041,34.859823
Plantation Golf Club,Hayden,AL,11900 State Highway 160,11900,27,Public,,No Match Found,-86.668003,33.949571
Headland Country Club,Headland,AL,4175 State Highway 134 E,36345-6403,9,Public,,No Match Found,-85.260701,31.351977
Silver Ridge Golf Club,Horton,AL,195 Golf Club Dr,35980-8796,18,Public,120.01461244683622,OSM (Medium Reliability),-86.372523,34.16761
Huntsville Municipal Golf Course,Huntsville,AL,2151 Airport Rd SW,35801-5364,18,Municipal,,No Match Found,-86.584758,34.688979
Huntsville Country Club,Huntsville,AL,2601 Oakwood Ave NW,35810-4309,18,Private,121.24023042748634,Tigris (High Reliability),-86.612913,34.749339
Valley Hill Country Club,Huntsville,AL,8300 Valley Hill Dr SE,35802-3228,27,Private,55.390519262093456,OSM (Medium Reliability),-86.543117,34.657309
Redstone Golf Course,Huntsville,AL,4140 Goss Road,35898-0001,45,Semi Private,496.69160214775775,OSM (Medium Reliability),-86.668185,34.698434
The Ledges Country Club,Huntsville,AL,32 Castle Down Dr,35802-1295,18,Semi Private,18.14938776933329,OSM (Medium Reliability),-86.518341,34.671148
Monrovia Golf Course,Huntsville,AL,7130B Highway 72 W,35806,18,Public,108.10870592664884,Tigris (High Reliability),-86.714329,34.75548
Sunset Landing Golf Course,Huntsville,AL,346 James Record Rd SW,35824-1514,18,Public,140.27967299609858,OSM (Medium Reliability),-86.773548,34.658224
Silver King Golf Club,Irvington,AL,7960 Edgar Roberts Rd,36544-4144,18,Public,,No Match Found,-88.228975,30.44651
Jackson Links Golf Course,Jackson,AL,Pierce Memorial Park,36545,9,Public,81.69186661297894,OSM (Medium Reliability),-87.891251,31.507903
Lake Winds Golf Course,Jacksons Gap,AL,95 County Road 40,36861-3142,18,Municipal,116.71069299120032,OSM (Medium Reliability),-85.873055,32.885532
Stoney Brook Golf Course,Jacksonville,AL,1505 Country Club Dr SW,36265-3367,18,Public,,No Match Found,-85.773421,33.784875
Musgrove Country Club,Jasper,AL,916 Country Club Rd,35503-6006,18,Semi Private,178.45665662457623,OSM (Medium Reliability),-87.287201,33.905893
Curry Golf Course,Jasper,AL,100 Boardwalk Ln,35503-5677,9,Public,,No Match Found,-87.211115,33.958805
Bear Branch Golf Club,Jasper,AL,3947 Holly Grove Rd,35501-7412,9,Public,,No Match Found,-87.327934,33.835633
Turtle Point Yacht & Country Club,Killen,AL,1000 Country Club Dr,35645,18,Private,252.3618998271972,OSM (Medium Reliability),-87.545134,34.843621
Riverside Country Club,Lanett,AL,2001 Cherry Drive,36863,9,Public,242.1693449538325,OSM (Medium Reliability),-85.215039,32.87264
Linden Country Club,Linden,AL,Highway 28 East,36748,18,Private,,No Match Found,-87.767996,32.294162
Livingston Country Club,Livingston,AL,Country Club Road,35470,9,Private,86.71303659586599,OSM (Medium Reliability),-88.201233,32.600854
Steelwood Country Club,Loxley,AL,31925 Steelwood Ridge Rd,31925,18,Private,16.582113060618287,OSM (Medium Reliability),-87.722198,30.698332
Crenshaw County Rec Club,Luverne,AL,265 Mount Ida Highway,36049,9,Private,87.50684880736051,OSM (Medium Reliability),-86.267266,31.702645
Marion Military Institute Golf Course,Marion,AL,1101 Washington St,36756-3213,9,Public,,No Match Found,-87.318588,32.624491
Cypress Tree Golf Courses,Montgomery,AL,1461 March Street,36112,36,Semi Private,167.5732182405151,OSM (Medium Reliability),-86.360922,32.390946
Lakeview Country Club,McCalla,AL,21026 Agnes Dr,21026,9,Public,,No Match Found,-87.144449,33.281056
Cloudmont Ski & Golf Resort,Mentone,AL,721 County Road 614,35984-2434,9,Public,,No Match Found,-85.603204,34.537302
Colonial Golf Course,Meridianville,AL,400 Colonial Dr,35759-1008,18,Public,96.4214060554992,Tigris (High Reliability),-86.597048,34.873146
Fox Run Golf Course,Meridianville,AL,870 McCollum Rd,35759-1716,18,Public,,No Match Found,-86.537211,34.87911
The Pines Golf Club,Millbrook,AL,307 Deatsville Hwy,36054-1634,18,Municipal,130.55181535984116,OSM (Medium Reliability),-86.375389,32.521738
Azalea City Golf Course,Mobile,AL,1000 Gaillard Dr,36608-2512,18,Municipal,,No Match Found,-88.162398,30.710567
Gulf Pines Golf Club,Mobile,AL,167 Old Bay Front Dr,36615-1304,18,Municipal,,No Match Found,-88.061674,30.640932
Magnolia Grove Golf Club,Mobile,AL,7001 Magnolia Grove Pkwy,36618-4824,54,Municipal,10.460774357099256,OSM (Medium Reliability),-88.21261,30.737516
Country Club of Mobile,Mobile,AL,4101 Wimbledon Dr W,36608-2361,27,Private,,No Match Found,-88.15335,30.68628
Heron Lakes Country Club,Mobile,AL,3851 Government Blvd,36693-4314,18,Private,167.84784104547634,OSM (Medium Reliability),-88.133828,30.642802
Spring Hill College Golf Course,Mobile,AL,4000 Dauphin St,36608-1780,18,Public,130.33711162408306,OSM (Medium Reliability),-88.146485,30.685821
Vanity Fair Golf & Tennis Club,Monroeville,AL,613 Golf Dr,36460-2287,18,Private,192.81938987926392,OSM (Medium Reliability),-87.340089,31.519735
Montevallo Golf Club,Montevallo,AL,1481 Shelby County Highway 204,35115,18,Municipal,104.08698451904918,OSM (Medium Reliability),-86.873531,33.102673
Gateway Park Executive Golf Course,Montgomery,AL,3800 Davenport Pkwy,36105,18,Municipal,,No Match Found,-86.326554,32.335042
Lagoon Park Golf Course,Montgomery,AL,2855 Lagoon Park Dr,36109-1112,18,Municipal,165.8436070428315,OSM (Medium Reliability),-86.221294,32.400294
Arrowhead Golf & Country Club,Montgomery,AL,50 Ocala Dr,36117-4139,18,Private,170.79053391072802,Tigris (High Reliability),-86.144678,32.378926
Bonnie Crest Country Club,Montgomery,AL,1410 Federal Dr,36107-1124,18,Semi Private,,No Match Found,-86.272271,32.398724
Montgomery Country Club,Montgomery,AL,3001 Narrow Lane Rd,36106-2216,18,Semi Private,127.75990331007417,Tigris (High Reliability),-86.282368,32.351498
Wynlakes Golf & Country Club,Montgomery,AL,7900 Wynlakes Blvd,36117-5165,18,Semi Private,211.2901926933903,OSM (Medium Reliability),-86.149479,32.349475
